Species,Platform,Name,Assays,Casey's Y/N as of 2/8,Proc
escherichia coli,A-GEOD-18948,Agilent QBiC 8 x 60k E.coli K-12 Expression Ver.1,42,,
escherichia coli str. k-12 substr. mg1655,A-GEOD-13634,UW-Escherichia_coli_K12-4x72k-v1.0,42,,
euphausia superba,A-MEXP-1800,BAS Euphausia superba 5K v1,42,,
fundulus heteroclitus,A-GEOD-9786,Fundulus heteroclitus cDNA-based embryo microarray,42,,
heterobasidion annosum,A-GEOD-13772,Heterobasidion annosum 12K whole genome expression array,42,,
homo sapiens,A-GEOD-8019,[miRNA-1_0] Affymetrix miRNA Array,42,,
homo sapiens,A-GEOD-9711,UCSD-Moores Cancer Center in-house tyrosine kinase DNA chip,42,,
homo sapiens,A-GEOD-1109,SuperArray GEArray Q series Human Apoptosis Gene Array,42,,
homo sapiens,A-SMDB-579,SMD Homo sapiens Lymphochip Array LC-27,42,,
homo sapiens,A-GEOD-4608,Qiagen Human V3 35K Oligo array (HV3),42,,
homo sapiens,A-GEOD-18604,OpArray Human 35K [oligo_ID version],42,,
homo sapiens,A-GEOD-13140,KTH Hum 34k Oligo Microarray,42,,
homo sapiens,A-AFFY-142,Illumina HumanHT-12 V4.0 expression beadchip,42,,
homo sapiens,A-GEOD-8786,Illumina HumanHT-12 V4.0 expression beadchip,42,,
homo sapiens,A-GEOD-19372,IQUSP Human Intron-Exon 44k v3.0,42,,
homo sapiens,A-GEOD-1456,IPMC - microRNA v4,42,,
homo sapiens,A-GEOD-16979,GeneTrack Human 35K oligonucleotide microarray,42,,
homo sapiens,A-MEXP-1917,CIT-aCGH-V708-HS,42,,
homo sapiens,A-GEOD-19018,Agilent-054261 026652AsQuintuplicatesOn180k_new [Feature Number version],42,,
homo sapiens,A-GEOD-6968,"Agilent Human miRNA Microarray, pre-commercial version 6.0",42,,
homo sapiens,A-GEOD-6968,"Agilent Human miRNA Microarray, Version 1",42,,
homo sapiens,A-GEOD-8119,Affymetrix GeneChip Human HJAY Array,42,,
homo sapiens,A-GEOD-17486,Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: HGU133A2_Hs_ENSG_16.0.0],42,,
homo sapiens,A-GEOD-8581,85KV4 ROMA Custom Human Microarray (Format 28),42,,
karenia brevis,A-GEOD-13364,NOAA Karenia brevis v3 (11K on 8x15K array format),42,,
lactobacillus reuteri,A-GEOD-6366,RTSF Lactobacillus reuteri 2.3K v1.0,42,,
legionella pneumophila,A-MEXP-1744,Legionella-IP2005,42,,
listeria monocytogenes,A-MEXP-1572,Affymetrix Custom Array - ListIPb520421F Tiling Array,42,,
methylobacterium extorquens am1,A-GEOD-16255,Marx lab 2012 Harvard University custom Agilent 60-mer array with 15K+ features for Methylobacterium extorquens AM1,42,,
mus musculus,A-GEOD-4055,Sentrix Mouse-6 Expression BeadChip,42,,
mus musculus,A-SMDB-663,SMD Mus musculus Array MMA,42,,
mus musculus,A-GEOD-1476,RNG-MRC_MM25k_NICE,42,,
mus musculus,A-NCMF-12,MEEBO,42,,
mus musculus,A-MARS-6,MARS McC 09 Array Design,42,,
mus musculus,A-GEOD-4045,FHCRC Mouse Prostate MPEDB cDNA Array v1,42,,
mus musculus,A-GEOD-17411,Exiqon Mouse miRCURY 6th generation LNA microRNA array,42,,
mus musculus,A-GEOD-15547,Agilent-035430 mouse miRNA array (miRBase release 18 miRNA ID version),42,,
mus musculus,A-MEXP-724,Agilent-028005 Mouse Gene Expression 8x60K Microarray (G4852A),42,,
mus musculus,A-GEOD-10361,Agilent-016579 Nelson Whole Mouse Genome Microarray 4x44K,42,,
mus musculus,A-AFFY-45,"Agilent-014717 Mouse Promoter ChIP-on-Chip Set 244K, Microarray 2 of 2 (G4490A) (Probe Name version)",42,,
mytilus galloprovincialis,A-GEOD-1799,Mussel MytArray 1.0,42,,
neurospora crassa or74a,A-GEOD-13956,Glasslab Neurospora crassa 10k V1,42,,
phanerochaete chrysosporium,A-GEOD-8022,Phanerochaete chrysosporium RP-78 microarrays,42,,
picea glauca,A-MEXP-1056,ArboreaSpruce9K,42,,
pseudomonas syringae pv. syringae b728a,A-GEOD-16328,NimbleGen Pseudomonas syringae B728a custom expression array [090326_P_syringae_B728a_expr],42,,
rattus norvegicus,A-GEOD-13694,Phalanx Rat OneArray v1,42,,
rattus norvegicus,A-GEOD-9207,Duke Operon Rat 27k V3.0 printed oligonucleotide array,42,,
saccharomyces cerevisiae,A-MEXP-1590,UT Austin Iyer yeast 6.4k ORF-only cDNA platform,42,,
saccharomyces cerevisiae,A-MEXP-1127,RAMACIOTTIMWGSc6.5KV3,42,,
saccharomyces cerevisiae,A-GEOD-6649,CEA Saccharomyces cerevisiae 6k Whole Genome Microarray,42,,
salmo trutta fario,A-GEOD-13225,"cGRASP Salmonid array, 32K cDNA, version 2, 02/08",42,,
schizosaccharomyces pombe,A-GEOD-16187,Agilent-015424 S. pombe Whole Genome ChIP-on-Chip Microarray 4x44K (Probe Name version - A_93_Pnnnn probes),42,,
solanum lycopersicum,A-GEOD-9923,CombiMatrix 90K TomatArray 1.0,42,,
staphylococcus aureus,A-GEOD-10537,Agilent-021782 Custom Staphylococcus aureus V6 Array,42,,
streptococcus mutans ua159,A-GEOD-4769,Streptococcus mutans UA159 Affymetrix Microarray,42,,
streptococcus pneumoniae,A-MEXP-621,VIDO S. pneumoniae 2K array  v1,42,,
sulfolobus solfataricus,A-GEOD-7093,Sulfolobus 3.4K long oligo array version 2.0,42,,
Multiple,A-GEOD-9142,Multispecies miRNA 1K,41,,
Multiple,A-MEXP-337,Candida albicans Array Eurogentec vGPL4751,41,,
Multiple,A-GEOD-5959,CCDTM miRNA700-V3,41,,
arabidopsis thaliana,A-GEOD-15215,Roche NimbleGen | A. thaliana Gene Expression 385K Arrays,41,,
caenorhabditis elegans,A-GEOD-8647,080922_modEncode_Caenorhabditis elegans_2M tiling chip_HX1,41,,
clostridium thermocellum atcc 27405,A-GEOD-15992,Clostridium thermocellum ATCC 27405 HX12 array (12 x 135k array probe ID),41,,
clostridium thermocellum atcc 27405,A-GEOD-11186,Clostridium thermocellum ATCC 27405 9K (expr_HX12),41,,
enterococcus faecium,A-MEXP-2172,UMCU E. faecium 15K v1 (alternate layout),41,,
escherichia coli,A-GEOD-3503,Khodursky Lab E. coli B 4290 ORFs Microarray,41,,
homo sapiens,A-GEOD-14895,miRNAChip_human_V2,41,,
homo sapiens,A-SMDB-674,SMD Homo sapiens Array SHCX,41,,
homo sapiens,A-SMDB-557,"SMD Homo sapiens Array SHBB, 44160 features",41,,
homo sapiens,A-GEOD-9335,SMD H. sapiens 40K IMAGE cDNA array,41,,
homo sapiens,A-AFFY-72,Illumina HumanHT-12 V4.0 expression beadchip,41,,
homo sapiens,A-GEOD-8429,Hs-OperonV2-vW2 Human oligonucleotide array,41,,
homo sapiens,A-GEOD-6353,DKFZ/Operon Human Oligo Set v4.0,41,,
homo sapiens,A-GEOD-5959,CCDTM Hs_CCDTM17.5k version 2,41,,
homo sapiens,A-GEOD-17061,3D-Gene Human miRNA V17_1.0.0 v2,41,,
hordeum vulgare,A-GEOD-14904,Agilent-021623 Barley Gene Expression Microarray,41,,
lactobacillus reuteri f275,A-GEOD-6856,"Lactobacillus reuteri F275 11K 60-mer array, Version 1",41,,
litopenaeus vannamei,A-GEOD-9249,Agilent-021376 shrimp_oligo_v1,41,,
mus musculus,A-GEOD-16264,[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [CDF: MoGene10stv1_Mm_ENTREZG_14.0.0],41,,
mus musculus,A-GEOD-7190,Steroltalk v2 mouse,41,,
mus musculus,A-GEOD-13684,Phalanx Biotech mouse OneArray Microarray v2,41,,
mus musculus,A-GEOD-7327,OSU-CCC (Ohio State University microRNA microarray v4),41,,
mus musculus,A-GEOD-15882,NimbleGen Mus musculus 2006-08-03_MM8_60mer_expr array,41,,
mus musculus,A-GEOD-19214,Agilent-027887 rek1,41,,
rattus norvegicus,A-MEXP-55,TNO_NUTRITION-Rattus norvegicus-3.1k-1,41,,
saccharomyces cerevisiae,A-GEOD-17690,"Agilent-038619 Yeast ORF + regions A, B and C + KHR1 + MPR1 (Probe Name version)",41,,
schizosaccharomyces pombe,A-MEXP-737,Sanger Institute S. pombe array 3.1.1 template 4.1,41,,
sparus aurata,A-GEOD-15203,Agilent-025866 gilthead seabream-Oct09 array,41,,
Multiple,A-MEXP-852,KTH Sulfolobus 12k v1.0,40,,
Multiple,A-GEOD-13534,Illumina MouseRef-8 v2.0 Expression BeadChip,40,,
Multiple,A-GEOD-5653,Hypertension Microarray Platform,40,,
Multiple,A-GEOD-9294,Agilent Custom Gene Expression Array for Saccharomyces mikatae,40,,
Multiple,A-AFFY-61,Affymetrix GeneChip ENCODE01 Forward Array,40,,
Multiple,A-AFFY-67,Affymetrix GeneChip ENCODE01 Forward Array,40,,
anguilla anguilla,A-MAXD-13,MAXD Array Cramb_array_type_1 Anguilla anguilla,40,,
bos taurus,A-GEOD-17645,[BovGene-1_0-v1] Bovine Gene 1.0 Array [transcript (gene) version],40,,
brevibacterium aurantiacum,A-GEOD-11217,Agilent-017166 Brevibacterium aurantiacum ATCC9174 Array,40,,
campylobacter jejuni,A-BUGS-9,BuG@S C.jejuni 4096 CJv2_0_0,40,,
candida albicans,A-GEOD-9545,"The Genome Center at Washington University, Candida albicans 20K array",40,,
candida glabrata,A-GEOD-8174,NIAID Cgaa -- Candida glabrata 6K,40,,
citrobacter rodentium,A-GEOD-7345,WEHI_Citrobacterrodentium_15k_V1.0,40,,
danaus plexippus,A-GEOD-7829,Umass/Reppert Danaus plexippus EST custom Nimblegen array,40,,
danio rerio,A-GEOD-11077,WHOI Zebrafish 44k v1.0 custom-commercial Chemical Defensome,40,,
danio rerio,A-GEOD-17670,Agilent-047562 Danio rerio 15K custom array zfin2.2,40,,
dinoroseobacter shibae,A-GEOD-11243,Agilent-020623 Dinoroseobacter shibae DFL 12 15k Oligo Microarray (Feature Number version),40,,
drosophila melanogaster,A-GEOD-1908,FHCRC Fly 12K v1.0,40,,
drosophila melanogaster,A-GEOD-3830,DGRC-D. melanogaster-DGRC1-15552-v5,40,,
eisenia fetida,A-GEOD-5776,Earthworm 4K cDNA array version 1.1,40,,
enterococcus faecalis,A-MEXP-696,LMG E.faecalis V583 3.6K v2,40,,
escherichia coli k-12,A-GEOD-8708,UW-Madison Escherichia coli K-12 MG1655 tiling array (YD Design),40,,
escherichia coli w3110,A-GEOD-6427,USITB Escherichia coli W3110 9.2k array v 1.0,40,,
gadus morhua,A-BASE-8,NIFES Cod array v1,40,,
gallus gallus,A-GEOD-14892,Chicken Oligo 20.6K 70-mer microarray v3,40,,
gallus gallus,A-GEOD-8861,ARK-Genomics G. gallus 20K v2 (duplicated spots),40,,
gossypium hirsutum,A-GEOD-6937,Chen Lab Cotton 25k oligo array,40,,
homarus americanus,A-GEOD-16931,Homarus americanus 15K array v2.1 (oligo ID version),40,,
homo sapiens,A-MEXP-2338,Ying Yin Homo sapiens Agilent custom microarray of gastric cancer  - design ID 021648,40,,
homo sapiens,A-MEXP-1159,UniLiv Path 44k Array design 1,40,,
homo sapiens,A-GEOD-8150,Stanford Microarray Functional Genomics Homo sapiens 34.6K,40,,
homo sapiens,A-GEOD-8450,Operon Homo sapiens 25.4k v2,40,,
homo sapiens,A-GEOD-16481,NRC Human 49k HEEBO,40,,
homo sapiens,A-MEXP-706,KTH H sapiens 34k Oligov2,40,,
homo sapiens,A-GEOD-13618,IPA/Center of Molecular Medicine Human_Mouse_Rat Ambion mirVana miRNA v2.0 array,40,,
homo sapiens,A-GEOD-6488,IMS human 0.6K v.2,40,,
homo sapiens,A-GEOD-6487,IMS human 0.6K v.1,40,,
homo sapiens,A-GEOD-6488,IMS human 0.6K v.1,40,,
homo sapiens,A-GEOD-16414,CCDTM-miRNA850-version 4p1.4,40,,
homo sapiens,A-GEOD-19775,Agilent-062647 INP_039494_Human_GE_v2_8x60K 039494,40,,
homo sapiens,A-GEOD-16043,Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (miRNA ID version),40,,
homo sapiens,A-GEOD-14551,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),40,,
homo sapiens,A-GEOD-14551,Agilent-028679 SurePrint G3 Human Exon 4x180K Microarray (Feature Number Version),40,,
homo sapiens,A-GEOD-9021,Agilent-019118 Human miRNA Microarray 2.0 G4470B (GeneView version),40,,
homo sapiens,A-MEXP-1514,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),40,,
homo sapiens,A-MEXP-1515,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),40,,
homo sapiens,A-AFFY-54,Affymetrix GeneChip Human Mapping 250K Array Nsp [Mapping250K_Nsp],40,,
homo sapiens,A-AFFY-164,Affymetrix Custom Human MitoP-1 Resequencing Array (100k design),40,,
homo sapiens,A-AFFY-44,3.7k full genome LUMC BAC array,40,,
homo sapiens,A-GEOD-4012,3.7k full genome LUMC BAC array,40,,
hordeum vulgare,A-MEXP-2357,JHI Hordeum vulgare 60k v1,40,,
lycopersicon esculentum,A-MEXP-1578,Bot2_L.esculentum_Surface.2,40,,
macaca fascicularis,A-AGIL-27,Agilent M. mulatta (Rhesus) Oligo Microarray 22K,40,,
malus x domestica,A-MEXP-1852,UNIPD-Apple-30K v1,40,,
medicago truncatula,A-MEXP-80,UNIBI-Mt6kRIT-Medicago truncatula-12k-Macroarray,40,,
micropterus salmoides,A-GEOD-6527,Largemouth Bass oligo array,40,,
mus musculus,A-GEOD-2921,Wistar Institute Mus musculus 9.6k MA11 array,40,,
mus musculus,A-GEOD-1089,UCSF GS Operon Mouse v.2 Oligo Array,40,,
mus musculus,A-GEOD-16702,NuGO array (mouse) NuGO_Mm1a520177,40,,
mus musculus,A-AFFY-45,NimbleGen MM8 Mouse Promoter plus CpG Island 374K Tiling Array,40,,
mus musculus,A-GEOD-19507,MI mouse exonic evidence-based oligonucleotide (MEEBO) microarray,40,,
mus musculus,A-GEOD-4317,Custom Genome PCR Tiling Array of the Igf2r Imprinted Gene Cluster,40,,
mus musculus,A-MEXP-31,Cambridge Uni HMGG subtracted mouse testis v0,40,,
mus musculus,A-AFFY-36,Affymetrix GeneChip Mouse Expression Array MOE430A [MOE430A],40,,
oncorhynchus mykiss,A-GEOD-5478,OSUrbt Oncorhynchus mykiss 1.6K v2.0 update 07.05.07,40,,
oncorhynchus mykiss,A-GEOD-7303,Agilent-020938 S. salar (Salmon) Oligo Microarray (Probe Name version),40,,
oryza sativa japonica group,A-GEOD-4315,Rice WRKY-custom oligo array,40,,
oryza sativa japonica group,A-GEOD-7252,Custom GER rice oligoarray,40,,
ovis aries,A-AFFY-193,Affymetrix Ovine Gene 1.1 ST Array (GeneTitan),40,,
plasmodium falciparum,A-GEOD-17880,Agilent-032491 3D7v7.1_transcriptome,40,,
prochlorococcus marinus subsp. pastoris str. ccmp1986,A-GEOD-19747,[MD4-9313a520062] Affymetrix Prochlorococcus marinus MED4 Array,40,,
ralstonia eutropha h16,A-MEXP-1727,Ralstonia eutropha H16 PHB KP v1,40,,
rattus norvegicus,A-GEOD-17566,[RaGene-1_1-st] Affymetrix Rat Gene 1.1 ST Array [transcript (gene) version],40,,
rattus norvegicus,A-GEOD-8745,NCode 0.24K multi-species miRNA microarray dual color version 2,40,,
rattus norvegicus,A-GEOD-17566,"Exiqon miRCURY LNA microRNA array; 7th generation; batch 208500-2, 208510; lot 35009   hsa, mmu & rno (miRBase 19.0)",40,,
rattus norvegicus,A-MEXP-1375,CEA_LCE_Rat 30k_207,40,,
rattus norvegicus,A-MEXP-1376,CEA_LCE_Rat 30k_207,40,,
saccharomyces cerevisiae,A-MEXP-1292,UHN_Y6_4K7,40,,
saccharomyces cerevisiae,A-MEXP-1494,Stowers Institute S. cerevisiae YOG_P4A,40,,
saccharomyces cerevisiae,A-GEOD-14716,Saccharomyces cerevisiae 5.8K (TI4932 60mer expr X4),40,,
saccharomyces cerevisiae,A-MEXP-356,MIT S.cerevisiae ORF 15K version 4.2,40,,
saccharomyces cerevisiae,A-GEOD-11380,GenoToul/Biopuces Yeast 4K (operon-2005-12),40,,
salmonella enterica subsp. enterica serovar typhimurium str. sl1344,A-GEOD-16849,Salmonella enterica serovar Typhimurium SL1344 4X72K Custom arrays,40,,
schizosaccharomyces pombe,A-MEXP-2392,UCL Bahler- s.pombe 44k custom Agilent GE array V4SC - ID033946,40,,
schizosaccharomyces pombe,A-MEXP-736,Sanger Institute S. pombe array 3.1.1 template 4.1,40,,
schizosaccharomyces pombe,A-SNGR-9,Sanger Institute S. pombe array 3.1.1 template 4,40,,
schizosaccharomyces pombe,A-GEOD-8679,GEMO S. Pombe expression array,40,,
schmidtea mediterranea,A-GEOD-14150,Agilent-021750 Schmidtea mediterranea 45K Smed_WI_expression_chip_Reddien_v2 015536,40,,
solea senegalensis,A-GEOD-8931,Solea senegalensis 5k oligo microarray,40,,
sparus aurata,A-GEOD-13926,University of Padova Sparus aurata 40k array version 1 [Probe name version],40,,
streptococcus mutans ua159,A-GEOD-4339,JCVI PFGRC Streptococcus mutans 10K v1 array designed primarily based on strain UA159,40,,
streptococcus pyogenes nz131,A-GEOD-11420,[NZ131a520662F] University of Oklahoma Health Sciences Center SPY49_NZ131 1.7K array,40,,
sus scrofa,A-GEOD-5972,DIAS_PIG_55K2_v1,40,,
sus scrofa,A-GEOD-17779,Agilent-031068 EmbryoGene Porcine Array Version 1 (EMPV1) [Probe version],40,,
tetrahymena thermophila,A-GEOD-6759,Tetrahymena thermophila genome-wide oligonucleotide microarray,40,,
vibrio parahaemolyticus rimd 2210633,A-GEOD-19126,Agilent-037053 FUB Vibrio parahaemolyticus 15K array v1 (Feature number version),40,,
vitis vinifera,A-MEXP-1732,CRA-VIT_Vv01array design,40,,
zea mays,A-MEXP-1419,Maize Array Slide A,40,,
Multiple,A-GEOD-14988,UMN AtDEFL 1.0,39,,
Multiple,A-GEOD-11412,Prochlorococcus microarray 11K,39,,
Multiple,A-GEOD-13635,Nimblegen Homo sapiens HG18 Expression Array (12x135k),39,,
Multiple,A-BUGS-30,BuG@S N.meningitidis / N.gonorrhoeae 7056 NMv1_1_0,39,,
Multiple,A-BUGS-23,BuG@S M.tuberculosis / M.bovis 10944 TBv2_1_1,39,,
Multiple,A-GEOD-12621,Agilent-021169 Arabidopsis 4 Oligo Microarray (V4) (Probe Name version),39,,
Multiple,A-GEOD-10497,Agilent-015072 Yeast Oligo Microarray 4x44K G2519F (Probe Name version),39,,
anemonia viridis,A-GEOD-10546,UNS/UMR7138 Anemonia viridis Oligo 2K array v1,39,,
bacillus subtilis,A-GEOD-15025,Bacillus subtilis 168 Oligo Array [condensed/gene-level version],39,,
caldicellulosiruptor saccharolyticus,A-GEOD-6681,NCSU_Caldicellulosiruptor saccharolyticus_3K array_version 1,39,,
campylobacter jejuni,A-GEOD-9022,UON_Campylobacter oligo array v1,39,,
clostridium thermocellum atcc 27405,A-GEOD-13640,ORNL Clostridium thermocellum Oligoarray,39,,
escherichia coli b str. rel606,A-AFFY-56,Affymetrix GeneChip E.coli Genome 2.0 Array [E_coli_2],39,,
gillichthys mirabilis,A-GEOD-5573,Gillichthys mirabilis cDNA microarray,39,,
homo sapiens,A-AFFY-44,[miRNA-2_0] Affymetrix Multispecies miRNA-2_0 Array,39,,
homo sapiens,A-GEOD-18602,[HTA-2_0] - Affymetrix GeneChip HTA-2_0 - Gene Level - HTA-2_0.r1.Psrs.mps probesets,39,,
homo sapiens,A-GEOD-17996,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array (custom CDF: HGU133Plus2_Hs_ENTREZG.cdf version 15.1.0),39,,
homo sapiens,A-SMDB-448,"SMD Homo sapiens Array SHBG, 45696 features",39,,
homo sapiens,A-GEOD-16419,Nimblegen Human HG19_HELP array [100128_HG19_MKF_HELP_ChIP],39,,
homo sapiens,A-MEXP-2359,"NimbleGen Human Expression Array 12 x 135, HG18",39,,
homo sapiens,A-GEOD-20604,Agilent-041648 LincRNA 60K Microarray PVD version 2 (probe name version),39,,
homo sapiens,A-GEOD-6076,Agilent- Whole Human Genome Oligo Microarray G4112A condensed,39,,
homo sapiens,A-AFFY-32,Affymetrix GeneChip Human Genome U95Av2 [HG_U95Av2],39,,
homo sapiens,A-GEOD-9828,Affymetrix GeneChip Human Genome 133 Plus 2.0 Array (CDF: Human133p_Hs_ENTREZG.cdf version 10.0.0),39,,
hordeum vulgare,A-MTAB-530,CAU/IPK_barley_60k_hv_001_01,39,,
lactobacillus plantarum wcfs1,A-GEOD-13984,"Lactobacillus plantarum WCFS1 15K 60-mer array, Version 3.1, our ID LPAG3.1_8",39,,
listeria monocytogenes,A-AFFY-140,Affymetrix Custom Array - L. monocytogenes gene expression,39,,
mus musculus,A-GEOD-15967,[Mouse4302_Mm_ENTREZG] Affymetrix GeneChip Mouse Genome 430 2.0 Array [Brainarray Version 15.1.0],39,,
mus musculus,A-GEOD-17835,"Micro-CRIBI microRNA Platform (mirVana Probe Set V1, Ambion)",39,,
mus musculus,A-MTAB-514,Applied Biosystems Custom (Magnuson) TaqMan Array 384,39,,
mycobacterium smegmatis str. mc2 155,A-GEOD-19567,Agilent-029929 Genotypic M.smegmatis WG GXP Microarray V1 029913,39,,
mycobacterium tuberculosis,A-BUGS-41,BuG@S M.tuberculosis 15744 TBv3_0_0,39,,
neurospora crassa,A-GEOD-14949,GlassLab-Ncrassa-10k-V1,39,,
oncorhynchus mykiss,A-GEOD-16819,Agilent-028639 RTIQ Oncorhynchus mykiss,39,,
oryza sativa,A-GEOD-14568,Rice_135k_tiling_V2 array,39,,
populus tremula x populus alba,A-GEOD-7234,UF Nimblegen Populus trichocarpa Array,39,,
saccharomyces cerevisiae,A-MEXP-342,MIT S.cerevisiae ORF 15K version 4.2,39,,
schizosaccharomyces pombe,A-GEOD-19357,Agilent-027365 Schizosaccharomyces pombe V3,39,,
streptomyces coelicolor a3(2),A-MAXD-24,MAXD OGT_S COELICOLOR_44k_v1,39,,
strombus gigas,A-GEOD-8934,Queen conch (Strombus gigas) oligonucleotide microarray v1,39,,
triticum turgidum subsp. durum x secale cereale,A-AFFY-57,Affymetrix GeneChip Wheat Genome Array [wheat],39,,
trypanosoma brucei,A-MEXP-1512,JCVI PFGRC Trypanosoma brucei 19K v3 array primarily designed for strain TREU927,39,,
Multiple,A-GEOD-10106,SMD Print_621 Homo sapiens,38,,
Multiple,A-AFFY-45,RPCI Mouse 6.5K,38,,
Multiple,A-GEOD-15122,NimbleGen_EcoliK12_72K_090224_Zmob_expr,38,,
Multiple,A-GEOD-10191,NimbleGen Homo sapiens HG18 Expression Array (12x135k),38,,
Multiple,A-GEOD-8953,NRC-BRI_Hydrocarbon degrading genes v6.1_141,38,,
Multiple,A-GEOD-8960,NRC-BRI_Hydrocarbon degrading genes v6.1_141,38,,
Multiple,A-GEOD-8953,NRC-BRI_16S rRNA PsychroChip_528,38,,
Multiple,A-MEXP-1738,MDACC miRNA Expression Bioarray 19k v5,38,,
Multiple,A-MEXP-591,KTH Sulfolobus v15,38,,
Multiple,A-AFFY-44,Affymetrix GeneChip Rat Expression Array RAE230A [RAE230A],38,,
Multiple,A-AFFY-130,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],38,,
arabidopsis thaliana,A-GEOD-2508,Galbraith Laboratory Operon Long Oligonucleotide Microarray version 3.0 (ATv302.02.Z),38,,
arabidopsis thaliana,A-MEXP-599,CATMA UNIL Arabidopsis 25k v1,38,,
arabidopsis thaliana,A-AGIL-12,Agilent Arabidopsis 3 Oligo Microarray 012600 G4142A,38,,
ashbya gossypii,A-AFFY-105,Affymetrix Custom Array - UNIBAS A. gossypii sySYNG001a,38,,
chelon labrosus,A-GEOD-15123,ehu/biozel_Chelonlabrosus_16kv2 [Agilent-022256 FISHtoTXIPs-II],38,,
danio rerio,A-GEOD-13784,NimbleGen Gene Expression Danio Rerio 385k Array [071105_Zv7_EXPR],38,,
danio rerio,A-GEOD-5182,MWG_Zebrafish_14K,38,,
dicentrarchus labrax,A-GEOD-9663,University of Padova_Dicentrarchus labrax_4x44K array_v1.0,38,,
drosophila melanogaster,A-GEOD-5112,MLRG/DrosoIndac Drosophila melanogaster 15K,38,,
drosophila melanogaster,A-GEOD-16820,Agilent-021791 D. melanogaster (FruitFly) Oligo Microarray 4x44K v. 2 (Probe Name version),38,,
escherichia coli str. k-12 substr. mg1655,A-GEOD-8708,UW-Madison Escherichia coli K-12 MG1655 tiling array (YD Design),38,,
escherichia coli str. k-12 substr. mg1655,A-GEOD-16048,Agilent-029412 E. coli K-12 MG1655 Summer 2010_Updated annotation,38,,
haplochromis burtoni,A-GEOD-6416,Hofmann A. burtoni 16K brain_pinky_array_print4,38,,
homo sapiens,A-GEOD-16686,[miRNA-3] Affymetrix Multispecies miRNA-3 Array [miRNA-3_0] or [miRNA-3_1],38,,
homo sapiens,A-SMDB-656,"SMD Homo sapiens Array SHCK, 43008 features",38,,
homo sapiens,A-SMDB-443,"SMD Homo sapiens Array SHBB, 44160 features",38,,
homo sapiens,A-GEOD-8841,Nimblegen Homo sapiens 135K 090527_HG18_WG_CGH_v3.1_HX12,38,,
homo sapiens,A-MEXP-1174,Illumina MouseRef-8 v2.0 Expression BeadChip,38,,
homo sapiens,A-GEOD-9686,Homo sapiens 3K Immunoarray2 HTLV-1 JH,38,,
homo sapiens,A-GEOD-3637,Canvac Human 7kv2 cDNA Array,38,,
homo sapiens,A-GEOD-16686,Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray 030840,38,,
listeria monocytogenes,A-GEOD-5029,CUFSL Listeria 6K oligonuclotide array v1.0,38,,
mus musculus,A-GEOD-4736,RNG-MRC_MM25k_EVRY,38,,
mus musculus,A-MEXP-197,Neuroflame II Mus musculus 0.5k v2.0,38,,
mus musculus,A-MEXP-2190,"Exiqon miRCURY LNA array v.11, miRBase18 annotation (4 meta cols, 12 meta rows, 15 cols, 13 rows)",38,,
mus musculus,A-GEOD-17864,Agilent-044804 Custom Mouse Coding and LncRNA array 028005 (Feature Number version),38,,
mycobacterium tuberculosis,A-GEOD-4291,JCVI PFGRC Mycobacterium tuberculosis 22K v2.1 array designed primarily based on strain H37Rv,38,,
nicotiana benthamiana,A-GEOD-10098,Agilent-021113 Tobacco Gene Expression Microarray (Feature Number version),38,,
penaeus monodon,A-GEOD-14373,Penaeus monodon 2.2k microarray,38,,
saccharomyces cerevisiae,A-SMDB-194,"SMD Saccharomyces cerevisiae Array SMD y19, 8064 features",38,,
saccharomyces cerevisiae,A-GEOD-13701,Phalanx Yeast OneArray v1,38,,
schizosaccharomyces pombe,A-MEXP-794,SIMR_Pombe_SP1A,38,,
scophthalmus maximus,A-GEOD-11161,Turbot-USCMicroarray2.0,38,,
thunnus thynnus,A-MTAB-553,Custom Agilent 8x15K Thunnus thynnus oligo microarray,38,,
trichoderma reesei,A-GEOD-10642,NimbleGen Trichoderma reesei Whole Genome array v 1.0,38,,
actinobacillus pleuropneumoniae,A-GEOD-6658,AppChip2 (NRC-IBS Actinobacillus pleuropneumoniae L20),37,,
aedes aegypti,A-GEOD-13335,Aedes aegypti whole genome array,37,,
arabidopsis thaliana,A-MEXP-555,Galbraith A. thaliana 30k Operon AROS V3 70mer,37,,
arabidopsis thaliana,A-TIGR-3,Arabidopsis thaliana ATH001 9k array,37,,
arabidopsis thaliana,A-MEXP-366,Affymetrix Custom Array - Syngenta Arabidopsis Exon Array (virtual design),37,,
bacillus subtilis subsp. subtilis str. 168,A-GEOD-10901,B subtilis_Custom_Agilent 44k_v2,37,,
